수험번호,선택과목,문제번호,대분류,중분류,소분류,학생이 쓴 답,정답,배점
2,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
2,공통,16,수학Ⅰ,지수와 로그,로그 방정식,182,7,3
2,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,269,16,3
2,공통,18,수학Ⅰ,수열,수열의 합,548,13,3
2,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
2,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
2,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
2,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,227,58,4
2,미적분,23,미적분,극한,함수의 극한값,1,1,2
2,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
2,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
2,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
2,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
2,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
2,미적분,29,미적분,미분법,역함수의 미분,230,3,4
2,미적분,30,미적분,정적분,정적분과 미분의 활용,283,283,4
3,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
3,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
3,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
3,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
3,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
3,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,4,5,3
3,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
3,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
3,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,2,3,4
3,공통,10,수학Ⅱ,적분법,속도와 거리,1,4,4
3,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
3,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,5,2,4
3,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
3,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
3,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
3,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
3,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
3,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
3,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
3,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
3,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
3,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
3,미적분,23,미적분,극한,함수의 극한값,1,1,2
3,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
3,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
3,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
3,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
3,미적분,28,미적분,정적분,부피와 삼각함수의 극한,3,4,4
3,미적분,29,미적분,미분법,역함수의 미분,118,3,4
3,미적분,30,미적분,정적분,정적분과 미분의 활용,718,283,4
4,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
4,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
4,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
4,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
4,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
4,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
4,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
4,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
4,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
4,공통,10,수학Ⅱ,적분법,속도와 거리,1,4,4
4,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
4,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
4,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
4,공통,14,수학Ⅱ,적분법,정적분 활용,2,5,4
4,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
4,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
4,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
4,공통,18,수학Ⅰ,수열,수열의 합,665,13,3
4,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
4,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
4,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
4,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
4,미적분,23,미적분,극한,함수의 극한값,1,1,2
4,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
4,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,1,5,3
4,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
4,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,4,3,3
4,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
4,미적분,29,미적분,미분법,역함수의 미분,694,3,4
4,미적분,30,미적분,정적분,정적분과 미분의 활용,424,283,4
5,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
5,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
5,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
5,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
5,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
5,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,2,5,3
5,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
5,공통,8,수학Ⅱ,미분법,접선의 방정식,3,1,3
5,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
5,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
5,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,1,2,4
5,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
5,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
5,공통,14,수학Ⅱ,적분법,정적분 활용,4,5,4
5,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
5,공통,16,수학Ⅰ,지수와 로그,로그 방정식,211,7,3
5,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
5,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
5,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
5,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,94,80,4
5,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,245,220,4
5,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,464,58,4
5,미적분,23,미적분,극한,함수의 극한값,1,1,2
5,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
5,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
5,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
5,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
5,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
5,미적분,29,미적분,미분법,역함수의 미분,100,3,4
5,미적분,30,미적분,정적분,정적분과 미분의 활용,418,283,4
6,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
6,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
6,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
6,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
6,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
6,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
6,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
6,공통,8,수학Ⅱ,미분법,접선의 방정식,3,1,3
6,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
6,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
6,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
6,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
6,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
6,공통,14,수학Ⅱ,적분법,정적분 활용,2,5,4
6,공통,15,수학Ⅰ,수열,점화식 문제,1,3,4
6,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
6,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
6,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
6,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
6,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
6,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
6,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,938,58,4
6,미적분,23,미적분,극한,함수의 극한값,1,1,2
6,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
6,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
6,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
6,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
6,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
6,미적분,29,미적분,미분법,역함수의 미분,302,3,4
6,미적분,30,미적분,정적분,정적분과 미분의 활용,917,283,4
7,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
7,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
7,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
7,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
7,공통,5,수학Ⅰ,수열,등차수열의 일반항,2,3,3
7,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
7,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
7,공통,8,수학Ⅱ,미분법,접선의 방정식,5,1,3
7,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
7,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
7,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
7,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
7,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
7,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
7,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
7,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
7,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,362,16,3
7,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
7,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
7,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
7,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
7,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
7,미적분,23,미적분,극한,함수의 극한값,1,1,2
7,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
7,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,4,5,3
7,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
7,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
7,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
7,미적분,29,미적분,미분법,역함수의 미분,387,3,4
7,미적분,30,미적분,정적분,정적분과 미분의 활용,512,283,4
8,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
8,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
8,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
8,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,4,1,3
8,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
8,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,1,5,3
8,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
8,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
8,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
8,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
8,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
8,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
8,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,3,5,4
8,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
8,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
8,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
8,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
8,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
8,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,939,4,3
8,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
8,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
8,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
8,미적분,23,미적분,극한,함수의 극한값,1,1,2
8,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
8,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
8,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
8,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
8,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
8,미적분,29,미적분,미분법,역함수의 미분,114,3,4
8,미적분,30,미적분,정적분,정적분과 미분의 활용,25,283,4
9,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
9,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
9,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
9,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
9,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
9,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
9,공통,7,수학Ⅰ,수열,수열의 합,3,5,3
9,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
9,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
9,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
9,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
9,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
9,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
9,공통,14,수학Ⅱ,적분법,정적분 활용,3,5,4
9,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
9,공통,16,수학Ⅰ,지수와 로그,로그 방정식,290,7,3
9,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
9,공통,18,수학Ⅰ,수열,수열의 합,42,13,3
9,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
9,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
9,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,586,220,4
9,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
9,미적분,23,미적분,극한,함수의 극한값,1,1,2
9,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
9,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,3,5,3
9,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
9,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
9,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
9,미적분,29,미적분,미분법,역함수의 미분,214,3,4
9,미적분,30,미적분,정적분,정적분과 미분의 활용,173,283,4
10,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
10,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
10,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
10,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
10,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
10,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
10,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
10,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
10,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,1,3,4
10,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
10,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,5,2,4
10,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
10,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
10,공통,14,수학Ⅱ,적분법,정적분 활용,4,5,4
10,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
10,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
10,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
10,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
10,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
10,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,790,80,4
10,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
10,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
10,미적분,23,미적분,극한,함수의 극한값,1,1,2
10,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
10,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
10,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
10,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
10,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
10,미적분,29,미적분,미분법,역함수의 미분,999,3,4
10,미적분,30,미적분,정적분,정적분과 미분의 활용,166,283,4
11,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
11,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
11,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
11,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
11,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
11,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
11,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
11,공통,8,수학Ⅱ,미분법,접선의 방정식,2,1,3
11,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
11,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
11,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
11,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
11,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
11,공통,14,수학Ⅱ,적분법,정적분 활용,2,5,4
11,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
11,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
11,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,299,16,3
11,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
11,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
11,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
11,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,175,220,4
11,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,131,58,4
11,미적분,23,미적분,극한,함수의 극한값,1,1,2
11,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
11,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
11,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
11,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
11,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
11,미적분,29,미적분,미분법,역함수의 미분,460,3,4
11,미적분,30,미적분,정적분,정적분과 미분의 활용,501,283,4
12,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
12,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
12,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
12,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
12,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
12,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
12,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
12,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
12,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
12,공통,10,수학Ⅱ,적분법,속도와 거리,5,4,4
12,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
12,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
12,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
12,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
12,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
12,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
12,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
12,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
12,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
12,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
12,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
12,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
12,미적분,23,미적분,극한,함수의 극한값,1,1,2
12,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
12,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
12,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
12,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
12,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
12,미적분,29,미적분,미분법,역함수의 미분,498,3,4
12,미적분,30,미적분,정적분,정적분과 미분의 활용,722,283,4
13,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
13,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
13,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
13,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,4,1,3
13,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
13,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,1,5,3
13,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
13,공통,8,수학Ⅱ,미분법,접선의 방정식,4,1,3
13,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,2,3,4
13,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
13,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
13,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
13,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
13,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
13,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
13,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
13,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
13,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
13,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
13,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,498,80,4
13,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,671,220,4
13,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,359,58,4
13,미적분,23,미적분,극한,함수의 극한값,1,1,2
